compound	Long2
C14-ACH	0.1557
C15-ACH	1.8659
C16-ACH	3.0822
Pristane	10.0472
C17-ACH	2.8944
Phytane	7.3091
C18-ACH	3.919
C19-ACH	2.757
C20-ACH	3.6433
C21-ACH	2.899
C22-ACH	3.2874
C23-ACH	3.305
C24-ACH	2.5911
C25-ACH	2.6945
C26-ACH	2.2149
C27-ACH	2.0635
Cholestane	10.0838
C28-ACH	2.6419
C33-ACH	1.1812
