compound	Long25
C13-ACH	0.0456
C14-ACH	1.1199
C15-ACH	5.898
C16-ACH	9.12
Pristane	57.77
C17-ACH	7.722
Phytane	38.3174
C18-ACH	15.5742
C19-ACH	6.7105
C20-ACH	8.7289
C21-ACH	6.5558
C22-ACH	6.5298
C23-ACH	9.6026
C24-ACH	5.4978
C25-ACH	6.9669
C26-ACH	5.3861
C27-ACH	8.2668
Cholestane	12.7222
C28-ACH	8.0389
C33-ACH	5.76
phytanyltoluene	5.9786
