compound	LU16
C15-ACH	0.6617
C16-ACH	1.9921
Pristane	11.4178
C17-ACH	2.0965
Phytane	9.0733
C18-ACH	4.4954
C19-ACH	2.1269
C20-ACH	2.678
C21-ACH	2.1919
C22-ACH	2.8432
C23-ACH	2.5663
C24-ACH	1.9163
C25-ACH	2.4236
C26-ACH	1.95
C27-ACH	4.8562
Cholestane	5.9488
C28-ACH	5.4779
C33-ACH	3.4135
phytanyltoluene	1.9637
