compound	LU23-4-5B
C15-ACH	0.1475
C16-ACH	1.338
Pristane	10.8925
C17-ACH	2.1257
Phytane	10.0744
C18-ACH	7.7708
C19-ACH	4.3507
C20-ACH	6.0217
C21-ACH	4.794
C22-ACH	5.7308
C23-ACH	5.5182
C24-ACH	3.7197
C25-ACH	3.9842
C26-ACH	3.0782
C27-ACH	4.2653
Cholestane	11.8373
C28-ACH	3.8756
C33-ACH	2.1543
