compound	LU30
C15-ACH	0.8598
C16-ACH	1.8763
Pristane	10.1806
C17-ACH	3.0316
Phytane	8.4048
C18-ACH	3.8142
C19-ACH	1.6675
C20-ACH	2.0352
C21-ACH	1.5615
C22-ACH	1.9553
C23-ACH	2.9873
C24-ACH	1.5243
C25-ACH	0.9014
C26-ACH	2.3476
C27-ACH	2.6794
Cholestane	5.2218
C28-ACH	3.3565
C33-ACH	2.0452
phytanyltoluene	1.9055
