compound	Long23
C15-ACH	0.163
C16-ACH	1.0323
Pristane	9.9061
C17-ACH	1.6417
Phytane	12.5863
C18-ACH	3.8503
C19-ACH	1.9814
C20-ACH	2.4704
C21-ACH	2.1063
C22-ACH	2.1525
C23-ACH	4.0342
C24-ACH	1.766
C25-ACH	2.8064
C26-ACH	2.0929
C27-ACH	2.6664
Cholestane	6.3922
C28-ACH	3.2194
C33-ACH	4.1287
phytanyltoluene	2.6574
