compound	LU20
C14-ACH	0.4884
C15-ACH	1.4381
C16-ACH	1.7566
Pristane	9.7901
C17-ACH	2.3217
Phytane	6.6522
C18-ACH	1.4668
C19-ACH	1.3457
C20-ACH	1.5798
C21-ACH	1.4933
C22-ACH	1.8027
C23-ACH	2.1143
C24-ACH	1.1813
C25-ACH	1.5952
C26-ACH	1.3418
C27-ACH	0.1288
Cholestane	3.3583
C28-ACH	1.8998
C33-ACH	2.7389
phytanyltoluene	1.2418
