compound	Long17
C14-ACH	1.0572
C15-ACH	2.0331
C16-ACH	2.1313
Pristane	15.4227
C17-ACH	1.3702
Phytane	13.1126
C18-ACH	1.6674
C19-ACH	1.4134
C20-ACH	1.555
C21-ACH	1.2742
C22-ACH	1.2938
C23-ACH	2.8318
C24-ACH	1.1013
C25-ACH	1.7207
C26-ACH	1.2515
C27-ACH	1.3432
Cholestane	7.7248
C28-ACH	2.1095
C33-ACH	3.2589
phytanyltoluene	4.0293
