compound	Long21
C13-ACH	0.0183
C14-ACH	0.5253
C15-ACH	1.9909
C16-ACH	2.4958
Pristane	13.4425
C17-ACH	2.1154
Phytane	12.2326
C18-ACH	3.7985
C19-ACH	1.8768
C20-ACH	2.1993
C21-ACH	1.9437
C22-ACH	1.4562
C23-ACH	4.0843
C24-ACH	1.416
C25-ACH	1.9802
C26-ACH	1.7001
C27-ACH	1.8604
Cholestane	7.7899
C28-ACH	2.5882
C33-ACH	3.575
phytanyltoluene	3.38
