compound	LU12
C15-ACH	0.2105
C16-ACH	0.9264
Pristane	7.7633
C17-ACH	1.126
Phytane	5.6728
C18-ACH	2.7185
C19-ACH	1.4362
C20-ACH	1.9245
C21-ACH	1.6235
C22-ACH	1.5201
C23-ACH	2.681
C24-ACH	1.2968
C25-ACH	1.711
C26-ACH	1.5589
C27-ACH	1.5758
Cholestane	4.1215
C28-ACH	1.6611
C33-ACH	2.2787
phytanyltoluene	1.0658
