compound	Long14
C14-ACH	0.7369
C15-ACH	1.4829
C16-ACH	1.6981
Pristane	17.2788
C17-ACH	1.4321
Phytane	15.724
C18-ACH	2.865
C19-ACH	1.5882
C20-ACH	1.7681
C21-ACH	1.5355
C23-ACH	2.1670
C25-ACH	2.3513
C26-ACH	1.6866
C27-ACH	2.2136
Cholestane	6.1184
C28-ACH	3.6445
C33-ACH	4.4553
phytanyltoluene	6.1032
