compound	LU19
C13-ACH	0.1325
C14-ACH	0.927
C15-ACH	2.7635
C16-ACH	3.5531
Pristane	20
C17-ACH	3.2503
Phytane	14.7887
C18-ACH	6.4654
C19-ACH	2.8521
C20-ACH	3.865
C21-ACH	3.1717
C22-ACH	3.2278
C23-ACH	5.3377
C24-ACH	2.9566
C25-ACH	3.5923
C26-ACH	2.6001
C27-ACH	5.817
Cholestane	9.4709
C28-ACH	6.525
C33-ACH	5.9054
phytanyltoluene	2.4838
