compound	Long27
C16-ACH	0.1055
Pristane	1.7059
C17-ACH	0.3246
Phytane	1.9161
C18-ACH	0.7847
C19-ACH	0.7168
C20-ACH	1.0096
C21-ACH	0.8706
C22-ACH	0.9405
C23-ACH	1.269
C24-ACH	0.6796
C25-ACH	0.9696
C26-ACH	0.775
C27-ACH	0.8017
Cholestane	3.321
C28-ACH	0.8459
C33-ACH	0.9136
phytanyltoluene	0.6665
