compound	LU28
C13-ACH	0.0264
C14-ACH	0.6584
C15-ACH	3.3700
C16-ACH	5.1780
Pristane	43.5631
C17-ACH	4.8434
Phytane	30.5092
C18-ACH	11.6815
C19-ACH	5.2398
C20-ACH	6.2778
C21-ACH	5.3957
C22-ACH	6.0861
C23-ACH	8.2692
C24-ACH	3.9339
C25-ACH	5.5071
C26-ACH	4.3909
C27-ACH	5.3607
Cholestane	10.8308
C28-ACH	6.7880
C33-ACH	6.5861
phytanyltoluene	3.9184
