compound	LU23-06B
C15-ACH	0.2407
C16-ACH	0.8782
Pristane	5.2397
C17-ACH	1.2251
Phytane	5.5419
C18-ACH	4.1407
C19-ACH	1.9338
C20-ACH	2.903
C21-ACH	2.558
C22-ACH	3.4058
C23-ACH	3.2873
C24-ACH	2.3042
C25-ACH	2.2731
C26-ACH	1.9882
C27-ACH	3.5674
Cholestane	3.9763
C28-ACH	3.5356
C33-ACH	1.1548
