compound	Long3
C14-ACH	1.3837
C15-ACH	3.9751
C16-ACH	4.296
Pristane	11.3867
C17-ACH	5.9748
Phytane	10.2416
C18-ACH	8.3051
C19-ACH	2.7387
C20-ACH	3.8195
C21-ACH	3.2154
C22-ACH	4.209
C23-ACH	4.2046
C24-ACH	3.5839
C25-ACH	4.1163
C26-ACH	2.6674
C27-ACH	5.1746
Cholestane	12.1408
C28-ACH	6.051
C33-ACH	2.1339
