compound	Long32
C14-ACH	0.5742
C15-ACH	2.0932
C16-ACH	2.5962
Pristane	11.4544
C17-ACH	2.1108
Phytane	8.8616
C18-ACH	3.6708
C19-ACH	1.691
C20-ACH	2.1102
C21-ACH	1.896
C22-ACH	1.9129
C23-ACH	3.477
C24-ACH	1.6817
C25-ACH	2.2878
C26-ACH	1.9442
C27-ACH	1.9715
Cholestane	10.4754
C28-ACH	2.8649
C33-ACH	5.0106
