compound	Long4
C15-ACH	0.8911
C16-ACH	2.2073
Pristane	10.7855
C17-ACH	2.9967
Phytane	9.0541
C18-ACH	3.6312
C19-ACH	3.4776
C20-ACH	4.5665
C21-ACH	4.1896
C22-ACH	4.0801
C23-ACH	3.5658
C24-ACH	3.8106
C25-ACH	3.8643
C26-ACH	2.72
C27-ACH	4.2467
Cholestane	14.6239
C28-ACH	7.4336
C33-ACH	3.2172
