compound	LU22
C14-ACH	0.5785
C15-ACH	3.3377
C16-ACH	4.9810
Pristane	41.0654
C17-ACH	4.1213
Phytane	31.0102
C18-ACH	9.1361
C19-ACH	4.5257
C20-ACH	5.5292
C21-ACH	4.9470
C22-ACH	5.0814
C23-ACH	8.4640
C24-ACH	3.8313
C25-ACH	5.2433
C26-ACH	4.4140
C27-ACH	5.1986
Cholestane	17.3147
C28-ACH	6.3221
C33-ACH	12.8838
phytanyltoluene	4.9452
