compound	LU24
C14-ACH	0.0985
C15-ACH	1.3859
C16-ACH	2.5222
Pristane	13.7532
C17-ACH	2.3861
Phytane	11.1711
C18-ACH	4.6793
C19-ACH	2.2020
C20-ACH	3.2542
C21-ACH	2.6629
C22-ACH	3.1795
C23-ACH	5.7261
C24-ACH	2.5963
C25-ACH	3.6934
C26-ACH	3.1579
C27-ACH	4.2159
Cholestane	11.5430
C28-ACH	5.5648
C33-ACH	7.6928
phytanyltoluene	2.9351
