compound	Long15
C13-ACH	0.4656
C14-ACH	1.677
C15-ACH	2.8587
C16-ACH	2.9861
Pristane	19.3211
C17-ACH	3.8546
Phytane	16.0203
C18-ACH	2.6063
C19-ACH	1.7101
C20-ACH	1.9181
C21-ACH	1.5505
C22-ACH	1.6169
C23-ACH	3.3631
C24-ACH	1.1013
C25-ACH	1.7218
C26-ACH	1.3644
C27-ACH	1.3088
Cholestane	4.7524
C28-ACH	2.0051
C33-ACH	3.5177
phytanyltoluene	2.9293
