compound	LU23-30-20
C15-ACH	0.3301
C16-ACH	1.376
Pristane	8.561
C17-ACH	1.9326
Phytane	6.571
C18-ACH	5.5014
C19-ACH	2.6231
C20-ACH	3.4205
C21-ACH	2.2999
C22-ACH	2.6922
C23-ACH	2.7477
C24-ACH	2.2755
C25-ACH	2.2721
C26-ACH	1.7506
C27-ACH	3.1074
Cholestane	5.5612
C28-ACH	3.2681
C33-ACH	1.8395
