compound	LU14
C16-ACH	0.5316
Pristane	3.4011
C17-ACH	0.7513
Phytane	2.6437
C18-ACH	1.2999
C19-ACH	1.0719
C20-ACH	1.2473
C21-ACH	0.9805
C22-ACH	1.12
C23-ACH	1.0453
C24-ACH	0.8297
C25-ACH	0.6023
C26-ACH	0.6807
C27-ACH	1.1395
Cholestane	2.105
C28-ACH	1.0971
C33-ACH	0.6505
phytanyltoluene	0.5882
