compound	Long19
C14-ACH	0.2848
C15-ACH	1.1441
C16-ACH	1.5636
Pristane	11.5501
C17-ACH	1.4939
Phytane	9.3983
C18-ACH	2.6358
C19-ACH	1.1932
C20-ACH	1.4319
C21-ACH	1.2045
C22-ACH	1.2206
C23-ACH	2.1265
C24-ACH	0.8263
C25-ACH	1.0348
C26-ACH	0.8294
C27-ACH	0.9891
Cholestane	5.5434
C28-ACH	1.539
C33-ACH	1.8191
phytanyltoluene	1.3184
