compound	LU24-30-50
C14-ACH	0.4947
C15-ACH	1.5775
C16-ACH	2.0712
Pristane	12.9822
C17-ACH	1.5512
Phytane	9.8146
C18-ACH	3.2016
C19-ACH	1.5765
C20-ACH	1.6765
C21-ACH	1.368
C22-ACH	1.9466
C23-ACH	2.3487
C24-ACH	1.0165
C25-ACH	1.2117
C26-ACH	1.0907
C27-ACH	1.1902
Cholestane	8.5467
C28-ACH	1.6183
C33-ACH	1.6601
phytanyltoluene	3.1542
